Period: P_1, Chains depth: 8, Method: BDF
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 0.000e+00 2.039e-05 6.797e+00 4.664e+04 1.503e+15 5.918e-07 5.654e-07 5.342e-09 2.103e-08
 3.600e+03 3.600e+03 8.348e+05 6.675e+07 4.663e+04 1.502e+15 2.420e+03 1.750e+00 1.256e+03 1.162e+03

Nulicdes at time = 3.600e+03 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
   10010      H-1    1.472e+17    0.000e+00    2.463e-07    0.000e+00
   10020      H-2    1.393e+16    0.000e+00    4.661e-08    0.000e+00
   10030      H-3    1.808e+15    3.224e+06    9.057e-09    8.383e-04
   20030     He-3    5.957e+09    0.000e+00    2.983e-14    0.000e+00
   20040     He-4    1.063e+17    0.000e+00    7.063e-07    0.000e+00
   80160     O-16    9.722e+00    0.000e+00    2.582e-22    0.000e+00
   80170     O-17    1.604e+01    0.000e+00    4.526e-22    0.000e+00
   80180     O-18    7.707e+01    0.000e+00    2.304e-21    0.000e+00
   90190     F-19    1.082e+07    0.000e+00    3.413e-16    0.000e+00
   90200     F-20    1.954e+06    1.213e+05    6.489e-17    4.003e-08
   90210     F-21    1.115e+06    1.858e+05    3.887e-17    1.635e-08
  100200    Ne-20    2.381e+08    0.000e+00    7.906e-15    0.000e+00
  100210    Ne-21    4.154e+08    0.000e+00    1.448e-14    0.000e+00
  100220    Ne-22    5.653e+08    0.000e+00    2.064e-14    0.000e+00
  100230    Ne-23    4.193e+07    7.804e+05    1.601e-15    3.434e-04
  100240    Ne-24    1.285e+08    4.392e+05    5.119e-15    3.118e-03
  110220    Na-22    2.152e+07    1.816e-01    7.861e-16    2.361e-10
  110230    Na-23    7.509e+15    0.000e+00    2.866e-07    0.000e+00
  110240    Na-24    9.649e+16    1.239e+12    3.844e-06    3.345e+02
  110241   Na-24m    2.476e+11    8.504e+12    9.863e-12    4.422e-07
  110250    Na-25    3.191e+07    3.742e+05    1.324e-15    4.490e-08
  110260    Na-26    3.076e+05    1.980e+05    1.328e-17    1.267e-09
  120240    Mg-24    2.262e+15    0.000e+00    9.010e-08    0.000e+00
  120250    Mg-25    1.808e+15    0.000e+00    7.502e-08    0.000e+00
  120260    Mg-26    9.936e+16    0.000e+00    4.287e-06    0.000e+00
  120270    Mg-27    1.388e+16    1.695e+13    6.217e-07    1.559e+02
  130250    Al-25    3.045e+04    2.938e+03    1.264e-18    8.521e-10
  130260    Al-26    4.265e+15    1.307e+02    1.840e-07    2.613e-06
  130261   Al-26m    1.396e+11    1.525e+10    6.024e-12    3.812e-03
  130270    Al-27    2.232e+24    0.000e+00    1.000e+02    0.000e+00
  130280    Al-28    1.016e+16    5.237e+13    4.721e-07    3.456e+02
  130290    Al-29    3.036e+01    5.346e-02    1.461e-21    8.020e-13
  140270    Si-27    1.044e+00    1.739e-01    4.677e-23    2.783e-14
