Period: P_2, Chains depth: 8, Method: DIAG
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 3.600e+03 8.348e+05 6.675e+07 0.000e+00 0.000e+00 2.420e+03 1.750e+00 1.256e+03 1.162e+03
 1.000e+03 4.600e+03 1.589e+05 7.798e+06 0.000e+00 0.000e+00 3.264e+02 6.749e-07 1.413e+02 1.851e+02
 1.000e+04 1.460e+04 1.978e+04 1.574e+06 0.000e+00 0.000e+00 3.783e+01 5.662e-07 1.568e+01 2.215e+01
 1.000e+05 1.146e+05 1.133e+03 3.327e+05 0.000e+00 0.000e+00 2.132e+00 5.663e-07 9.217e-01 1.211e+00

Nulicdes at time = 1.146e+05 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
   10010      H-1    1.472e+17    0.000e+00    2.463e-07    0.000e+00
   10020      H-2    1.393e+16    0.000e+00    4.661e-08    0.000e+00
   10030      H-3    1.808e+15    3.223e+06    9.055e-09    8.381e-04
   20030     He-3    3.638e+11    0.000e+00    1.822e-12    0.000e+00
   20040     He-4    1.063e+17    0.000e+00    7.063e-07    0.000e+00
   80160     O-16    9.723e+00    0.000e+00    2.582e-22    0.000e+00
   80170     O-17    1.604e+01    0.000e+00    4.526e-22    0.000e+00
   80180     O-18    7.715e+01    0.000e+00    2.306e-21    0.000e+00
   90190     F-19    1.082e+07    0.000e+00    3.413e-16    0.000e+00
  100200    Ne-20    2.401e+08    0.000e+00    7.970e-15    0.000e+00
  100210    Ne-21    4.165e+08    0.000e+00    1.452e-14    0.000e+00
  100220    Ne-22    5.653e+08    0.000e+00    2.064e-14    0.000e+00
  110220    Na-22    2.150e+07    1.815e-01    7.854e-16    2.359e-10
  110230    Na-23    7.509e+15    0.000e+00    2.866e-07    0.000e+00
  110240    Na-24    2.321e+16    2.979e+11    9.244e-07    8.044e+01
  120240    Mg-24    7.555e+16    0.000e+00    3.009e-06    0.000e+00
  120250    Mg-25    1.808e+15    0.000e+00    7.502e-08    0.000e+00
  120260    Mg-26    9.936e+16    0.000e+00    4.287e-06    0.000e+00
  130260    Al-26    4.265e+15    1.307e+02    1.840e-07    2.613e-06
  130270    Al-27    2.232e+24    0.000e+00    1.000e+02    0.000e+00
  140280    Si-28    1.885e+17    0.000e+00    8.758e-06    0.000e+00
  140290    Si-29    5.431e+09    0.000e+00    2.613e-13    0.000e+00
  140300    Si-30    6.342e+01    0.000e+00    3.157e-21    0.000e+00
  320760    Ge-76    7.075e+05    0.000e+00    8.920e-17    0.000e+00
  320770    Ge-77    1.087e+06    1.853e+01    1.389e-16    6.856e-09
  320780    Ge-78    2.145e+06    2.815e+02    2.775e-16    2.675e-08
  330750    As-75    5.303e+03    0.000e+00    6.597e-19    0.000e+00
  330760    As-76    3.880e+02    2.847e-03    4.892e-20    2.107e-12
  330770    As-77    4.937e+06    2.448e+01    6.306e-16    9.547e-09
