Period: Step1, Chains depth: 6, Method: MMPA
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
0.0000e+00	1.2357e-06	6.7966e-01	4.6632e+03	1.5024e+14	5.9176e-08	5.6539e-08	5.3423e-10	2.1025e-09
3.6000e+03	5.9190e+04	6.6735e+06	4.6620e+03	1.5021e+14	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
Nulicdes at time = 3.600e+03 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
H-1	2.4564e+07	0.0000e+00	4.1109e-17	0.0000e+00
H-2	7.8024e+14	0.0000e+00	2.6095e-09	0.0000e+00
H-3	4.7825e+13	8.5265e+04	2.3952e-10	2.2169e-05
He-3	2.2746e+10	0.0000e+00	1.1392e-13	0.0000e+00
He-4	2.1859e+15	0.0000e+00	1.4529e-08	0.0000e+00
C-14	1.9303e+00	7.4382e-12	4.4885e-23	4.3142e-20
O-16	2.9340e+01	0.0000e+00	7.7927e-22	0.0000e+00
O-17	5.1794e+07	0.0000e+00	1.4620e-15	0.0000e+00
O-18	1.1934e+07	0.0000e+00	3.5668e-16	0.0000e+00
O-19	3.1348e+04	8.0836e+02	9.8922e-19	6.2244e-10
F-18	2.7592e+01	2.9039e-03	8.2477e-22	1.7133e-13
F-19	6.3467e+09	0.0000e+00	2.0022e-13	0.0000e+00
F-20	6.7337e+12	4.1812e+11	2.2363e-10	1.3798e-01
F-21	4.4753e+04	7.4605e+03	1.5606e-18	6.5652e-10
Ne-20	1.4985e+15	0.0000e+00	4.9748e-08	0.0000e+00
Ne-21	4.2128e+13	0.0000e+00	1.4686e-09	0.0000e+00
Ne-22	5.3390e+14	0.0000e+00	1.9497e-08	0.0000e+00
Ne-23	3.9892e+05	7.4252e+03	1.5232e-17	3.2671e-06
Na-21	5.5142e+03	1.6995e+02	1.9227e-19	8.8374e-12
Na-22	1.3542e+14	1.1428e+06	4.9459e-09	1.4857e-03
Na-23	2.6195e+22	0.0000e+00	1.0000e+00	0.0000e+00
Na-24	3.9080e+15	5.0174e+10	1.5569e-07	1.3547e+01
Na-24m	2.2927e+10	7.8750e+11	9.1337e-13	4.0950e-08
Na-25	1.0810e+06	1.2679e+04	4.4860e-17	1.5215e-09
Mg-24	9.1008e+13	0.0000e+00	3.6247e-09	0.0000e+00
Mg-25	2.3022e+07	0.0000e+00	9.5518e-16	0.0000e+00
Al-29	1.3144e+06	2.3147e+03	6.3253e-17	3.4720e-08
Si-28	1.1305e+00	0.0000e+00	5.2520e-23	0.0000e+00
Si-29	3.6440e+06	0.0000e+00	1.7534e-16	0.0000e+00
Si-30	1.1822e+06	0.0000e+00	5.8841e-17	0.0000e+00
Si-31	8.5302e+06	6.2648e+02	4.3876e-16	4.9492e-08
Si-32	2.5644e+03	3.6814e-07	1.3615e-19	4.0495e-14
Si-33	3.3055e+02	3.7499e+01	1.8101e-20	1.3875e-11
P-31	6.8875e+07	0.0000e+00	3.5425e-15	0.0000e+00
P-32	6.3112e+14	3.5499e+08	3.3509e-08	1.2070e+00
P-33	3.8428e+10	1.2166e+04	2.1039e-12	1.8249e-05
P-34	2.4129e+11	1.3456e+10	1.3612e-11	2.2874e-02
P-35	1.8173e+02	2.6632e+00	1.0554e-20	1.7044e-11
S-32	6.3919e+11	0.0000e+00	3.3935e-11	0.0000e+00
S-33	5.0739e+12	0.0000e+00	2.7780e-10	0.0000e+00
S-34	2.5745e+14	0.0000e+00	1.4521e-08	0.0000e+00
S-35	6.0377e+11	5.5351e+04	3.5059e-11	1.0517e-04
S-36	3.7091e+13	0.0000e+00	2.2152e-09	0.0000e+00
S-37	2.1494e+05	4.9170e+02	1.3196e-17	6.3921e-09
Cl-35	1.2869e+22	0.0000e+00	7.4724e-01	0.0000e+00
Cl-36	2.0293e+17	1.4808e+04	1.2120e-05	1.0810e-04
Cl-37	4.1175e+21	0.0000e+00	2.5274e-01	0.0000e+00
Cl-38	3.8775e+14	1.2032e+11	2.4446e-08	5.4143e+00
Cl-38m	2.2003e+10	2.1331e+10	1.3872e-12	6.1859e-04
Ar-36	2.6148e+07	0.0000e+00	1.5617e-15	0.0000e+00
Ar-37	4.8551e+06	1.1116e+00	2.9803e-16	4.2241e-08
Ar-38	2.5607e+14	0.0000e+00	1.6142e-08	0.0000e+00
Ar-39	2.6806e+07	2.1887e-03	1.7344e-15	8.3172e-08
Ar-40	1.5209e+03	0.0000e+00	1.0093e-19	0.0000e+00
K-39	2.0698e+00	0.0000e+00	1.3392e-22	0.0000e+00
Ga-77	5.4995e+03	2.8878e+02	7.0253e-19	9.8187e-09
Ga-78	9.5910e+08	1.3061e+08	1.2412e-13	2.8734e-03
Ga-79	1.0793e+11	2.6276e+10	1.4146e-11	6.8319e-01
Ge-76	7.0267e+04	0.0000e+00	8.8585e-18	0.0000e+00
Ge-77	5.0676e+05	8.6346e+00	6.4730e-17	3.1948e-09
Ge-78	3.7414e+11	4.9117e+07	4.8412e-11	4.6661e-03
Ge-79	7.0416e+11	2.5716e+10	9.2287e-11	2.2116e-02
Ge-79m	1.0801e+12	1.9196e+10	1.4156e-10	4.0313e-02
Ge-80	6.5951e+12	1.5496e+11	8.7530e-10	2.6344e-01
Ge-81	2.1038e+12	1.9187e+11	2.8271e-10	1.4198e-01
Ge-81m	2.7753e+11	2.5312e+10	3.7296e-11	1.7971e-02
Ge-82	1.2619e+12	1.9224e+11	1.7168e-10	0.0000e+00
Ge-83	1.9520e+11	7.3138e+10	2.6883e-11	0.0000e+00
Ge-84	3.9880e+10	2.8975e+10	5.5585e-12	0.0000e+00
As-77	1.0793e+04	5.3518e-02	1.3786e-18	2.0872e-11
