Period: Step2, Chains depth: 6, Method: DIAG
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
3.6000e+03	5.9190e+04	6.6735e+06	0.0000e+00	0.0000e+00	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
4.6000e+03	1.1249e+04	7.7963e+05	0.0000e+00	0.0000e+00	3.2482e+01	6.7476e-08	1.4082e+01	1.8400e+01
1.4600e+04	1.3928e+03	1.5732e+05	0.0000e+00	0.0000e+00	3.7360e+00	5.6624e-08	1.5632e+00	2.1728e+00
1.1460e+05	7.1698e+01	3.3245e+04	0.0000e+00	0.0000e+00	1.9986e-01	5.6624e-08	9.0570e-02	1.0929e-01
Nulicdes at time = 1.146e+05 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
H-1	2.4564e+07	0.0000e+00	4.1109e-17	0.0000e+00
H-2	7.8024e+14	0.0000e+00	2.6095e-09	0.0000e+00
H-3	4.7816e+13	8.5248e+04	2.3947e-10	2.2164e-05
He-3	3.2209e+10	0.0000e+00	1.6131e-13	0.0000e+00
He-4	2.1859e+15	0.0000e+00	1.4529e-08	0.0000e+00
C-14	1.9303e+00	7.4382e-12	4.4885e-23	4.3142e-20
O-16	2.9574e+01	0.0000e+00	7.8548e-22	0.0000e+00
O-17	5.1794e+07	0.0000e+00	1.4620e-15	0.0000e+00
O-18	1.1934e+07	0.0000e+00	3.5668e-16	0.0000e+00
F-19	6.3467e+09	0.0000e+00	2.0022e-13	0.0000e+00
Ne-20	1.5052e+15	0.0000e+00	4.9971e-08	0.0000e+00
Ne-21	4.2128e+13	0.0000e+00	1.4686e-09	0.0000e+00
Ne-22	5.3403e+14	0.0000e+00	1.9501e-08	0.0000e+00
Na-22	1.3529e+14	1.1418e+06	4.9413e-09	1.4843e-03
Na-23	2.6195e+22	0.0000e+00	1.0000e+00	0.0000e+00
Na-24	9.3984e+14	1.2066e+10	3.7441e-08	3.2579e+00
Mg-24	3.0592e+15	0.0000e+00	1.2184e-07	0.0000e+00
Mg-25	2.4103e+07	0.0000e+00	1.0000e-15	0.0000e+00
Si-28	1.2947e+00	0.0000e+00	6.0147e-23	0.0000e+00
Si-29	4.9584e+06	0.0000e+00	2.3858e-16	0.0000e+00
Si-30	1.1822e+06	0.0000e+00	5.8841e-17	0.0000e+00
Si-31	2.4578e+03	1.8051e-01	1.2642e-19	1.4260e-11
Si-32	2.5643e+03	3.6813e-07	1.3615e-19	4.0494e-14
P-31	7.7403e+07	0.0000e+00	3.9811e-15	0.0000e+00
P-32	5.9292e+14	3.3350e+08	3.1480e-08	1.1339e+00
P-33	3.7101e+10	1.1746e+04	2.0313e-12	1.7619e-05
S-32	3.8838e+13	0.0000e+00	2.0619e-09	0.0000e+00
S-33	5.0752e+12	0.0000e+00	2.7787e-10	0.0000e+00
S-34	2.5769e+14	0.0000e+00	1.4535e-08	0.0000e+00
S-35	5.9766e+11	5.4790e+04	3.4704e-11	1.0410e-04
S-36	3.7091e+13	0.0000e+00	2.2152e-09	0.0000e+00
Cl-35	1.2869e+22	0.0000e+00	7.4724e-01	0.0000e+00
Cl-36	2.0293e+17	1.4808e+04	1.2120e-05	1.0810e-04
Cl-37	4.1175e+21	0.0000e+00	2.5274e-01	0.0000e+00
Ar-36	1.6386e+09	0.0000e+00	9.7866e-14	0.0000e+00
Ar-37	4.7333e+06	1.0837e+00	2.9055e-16	4.1181e-08
Ar-38	6.4384e+14	0.0000e+00	4.0586e-08	0.0000e+00
Ar-39	2.6805e+07	2.1887e-03	1.7344e-15	8.3172e-08
Ar-40	1.5209e+03	0.0000e+00	1.0093e-19	0.0000e+00
K-39	2.4502e+02	0.0000e+00	1.5853e-20	0.0000e+00
Ge-76	7.0267e+04	0.0000e+00	8.8585e-18	0.0000e+00
Ge-77	7.7285e+04	1.3169e+00	9.8719e-18	4.8724e-10
Ge-78	1.7607e+05	2.3114e+01	2.2782e-17	2.1958e-09
As-77	3.1391e+05	1.5565e+00	4.0095e-17	6.0705e-10
As-78	3.2713e+06	4.1666e+02	4.2328e-16	3.7083e-08
Se-77	1.3147e+05	0.0000e+00	1.6792e-17	0.0000e+00
Se-78	4.7026e+11	0.0000e+00	6.0845e-11	0.0000e+00
Se-79	1.5885e+14	1.1828e+01	2.0817e-08	8.0427e-08
Se-80	6.3390e+14	0.0000e+00	8.4121e-08	0.0000e+00
Se-81	2.5941e+03	1.6243e+00	3.4857e-19	2.4365e-11
Se-81m	5.4624e+03	1.1017e+00	7.3397e-19	5.6186e-11
Se-82	1.7524e+15	0.0000e+00	2.3837e-07	0.0000e+00
Br-79	1.3205e+06	0.0000e+00	1.7305e-16	0.0000e+00
Br-81	1.1173e+15	0.0000e+00	1.5013e-07	0.0000e+00
Br-82	1.3153e+08	7.1779e+02	1.7892e-14	4.5221e-07
Br-83	3.9258e+11	3.1495e+07	5.4052e-11	1.5118e-03
Kr-82	1.1710e+08	0.0000e+00	1.5928e-14	0.0000e+00
Kr-83	2.8368e+15	0.0000e+00	3.9058e-07	0.0000e+00
Kr-83m	1.1803e+12	1.2419e+08	1.6251e-10	1.9870e-01
Kr-84	4.6788e+15	0.0000e+00	6.5193e-07	0.0000e+00
Kr-85	8.5717e+14	1.7504e+06	1.2086e-07	6.6515e+01
Kr-85m	3.2100e+13	1.3796e+09	4.5262e-09	5.3805e+01
Kr-86	6.7798e+15	0.0000e+00	9.6720e-07	0.0000e+00
Kr-87	5.4568e+08	8.2621e+04	7.8755e-14	4.6268e-03
Kr-88	8.9782e+12	6.0869e+08	1.3107e-09	1.2174e+02
Rb-85	3.1490e+15	0.0000e+00	4.4401e-07	0.0000e+00
